Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Test),Inward issue link (Test),Outward issue link (Test),Attachment,Attachment,Attachment,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
New Transaction submits a transaction payment and verifies the deposit for the receiver,SCRUM-191,10222,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i00167:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
New Transaction displays new transaction errors,SCRUM-190,10221,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i0015z:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
"New Transaction navigates to the new transaction form, selects a user and submits a transaction request",SCRUM-189,10220,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i0015r:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
"New Transaction navigates to the new transaction form, selects a user and submits a transaction payment",SCRUM-188,10219,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i0015j:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Bank Accounts renders an empty bank account list state with onboarding modal,SCRUM-187,10218,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i0015b:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Bank Accounts soft deletes a bank account,SCRUM-186,10217,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i00153:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Bank Accounts should display bank account form errors,SCRUM-185,10216,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i0014v:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Bank Accounts creates a new bank account,SCRUM-184,10215,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i0014n:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
User Sign-up and Login should error for an invalid password for existing user,SCRUM-183,10214,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i0014f:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
User Sign-up and Login should error for an invalid user,SCRUM-182,10213,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i00147:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
User Sign-up and Login should display signup errors,SCRUM-181,10212,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i0013z:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
User Sign-up and Login should display login errors,SCRUM-180,10211,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i0013r:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
"User Sign-up and Login should allow a visitor to sign-up, login, and logout",SCRUM-179,10210,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i0013j:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
User Sign-up and Login should remember a user for 30 days after login,SCRUM-178,10209,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i0013b:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
User Sign-up and Login should redirect to the home page after login,SCRUM-177,10208,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i00133:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
User Sign-up and Login should redirect unauthenticated user to signin page,SCRUM-176,10207,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i0012v:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Cypress Studio Demo create new bank account,SCRUM-175,10206,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i0012n:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Cypress Studio Demo create new transaction,SCRUM-174,10205,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i0012f:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Users API POST /login logs in as a user,SCRUM-173,10204,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i00127:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Users API PATCH /users/:userId errors when an invalid field sent,SCRUM-172,10203,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i0011z:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Users API PATCH /users/:userId updates a user,SCRUM-171,10202,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i0011r:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Users API POST /users errors when an invalid field sent,SCRUM-170,10201,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i0011j:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Users API POST /users creates a new user with an account balance in cents,SCRUM-169,10200,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i0011b:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Users API POST /users creates a new user,SCRUM-168,10199,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i00113:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Users API GET /users/search gets users by username,SCRUM-167,10198,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i0010v:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Users API GET /users/search gets users by phone number,SCRUM-166,10197,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i0010n:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Users API GET /users/search gets users by email,SCRUM-165,10196,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i0010f:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Users API GET /users/profile/:username gets a user profile by username,SCRUM-164,10195,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i00107:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Users API GET /users/:userId errors when invalid userId,SCRUM-163,10194,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i000zz:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Users API GET /users/:userId gets a user,SCRUM-162,10193,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i000zr:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Users API GET /users gets a list of users,SCRUM-161,10192,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i000zj:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Transactions API PATCH /transactions/:transactionId errors when an invalid field sent,SCRUM-160,10191,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i000zb:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Transactions API PATCH /transactions/:transactionId updates a transaction,SCRUM-159,10190,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i000z3:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Transactions API POST /transactions creates a new request,SCRUM-158,10189,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i000yv:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Transactions API POST /transactions creates a new payment,SCRUM-157,10188,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i000yn:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Transactions API GET /transactions/public gets a list of public transactions,SCRUM-156,10187,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i000yf:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
"Transactions API GET /transactions/contacts gets a list of transactions for users list of contacts, page two",SCRUM-155,10186,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i000y7:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
"Transactions API GET /transactions/contacts gets a list of transactions for users list of contacts, page one",SCRUM-154,10185,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i000xz:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Transactions API GET /transactions gets a list of pending request transactions for user between a time range,SCRUM-153,10184,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i000xr:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Transactions API GET /transactions gets a list of pending request transactions for user,SCRUM-152,10183,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i000xj:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Transactions API GET /transactions gets a list of transactions for user (default),SCRUM-151,10182,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i000xb:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Test Data API GET /testData/:entity gets remote mock data for banktransfers,SCRUM-150,10181,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i000x3:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Test Data API GET /testData/:entity gets remote mock data for comments,SCRUM-149,10180,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i000wv:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Test Data API GET /testData/:entity gets remote mock data for likes,SCRUM-148,10179,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i000wn:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Test Data API GET /testData/:entity gets remote mock data for transactions,SCRUM-147,10178,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i000wf:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Test Data API GET /testData/:entity gets remote mock data for notifications,SCRUM-146,10177,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i000w7:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Test Data API GET /testData/:entity gets remote mock data for bankaccounts,SCRUM-145,10176,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i000vz:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
Test Data API GET /testData/:entity gets remote mock data for contacts,SCRUM-144,10175,Test,To Do,SCRUM,Bug Tracking,software,Shenyi,5ff0d9741051d100756df8aa,,Medium,,,,Shenyi,5ff0d9741051d100756df8aa,Shenyi,5ff0d9741051d100756df8aa,04/Jul/26 5:09 PM,04/Jul/26 5:09 PM,,,,0,,,Shenyi,5ff0d9741051d100756df8aa,,,,,,,,,,,,,,,,,0|i000vr:,,,,,,,,,,To Do,04/Jul/26 5:09 PM
